,BlockBk_ID,Final_Prioity_Score,OSDS_count,Soil_Suitability_Rank,SLR_Rank,WELLCZ_Rank,dist2_coast_m_Rank,dist2_Strm_Wtlnd_m_Rank,rainfall_in_Rank,dist2_MunWells_m_Rank,dist2_DomWells_m_Rank,Dep_to_Water_m_Rank,OSDS_Density_perAcre_Rank,Swim_beach_Rank,UserDays_Rank,Fish_Rank,Coral_Rank,Wave_pwr_Rank,CESSPOOL_Density_perAcre_Rank,In_2017_CP_zone,Final_Cat_Ranking,Fin_Rank
350,1510,20.083996151906074,14,33.027125850340134,0.0,0.0,1.112477889694918,8.662610203227066,74.05829023704257,1.2006614039764916,0.9385512882839263,0.6675389654124941,9.356616265186641,0.0,13.71994342291372,42.42857142857143,66.0,67.68636012509288,2.485191350755056,0.0,Low,3.0
356,1526,30.253478602094038,20,29.078214285714285,0.0,0.0,6.53034362541015,36.14212944747834,8.495400800609643,9.98832623343232,15.305862918630229,15.196069132114179,71.11793087506497,0.0,22.77227722772278,33.0,100.0,36.42910308732781,100.0,1.0,Medium,2.0
376,1646,27.843357830469433,13,27.773626373626374,0.0,84.61538461538461,3.5810700080957525,1.4117973351350532,47.71099041635767,40.479527285270066,1.8561553429881814,2.503532102984842,25.300713483248447,0.0,10.814927646610816,10.153846153846153,100.0,82.43739575414914,6.85475876981387,0.0,Medium,2.0
395,1814,40.932437199242145,14,31.978571428571428,80.85714285714286,0.0,92.54445579824494,1.2126888408213843,34.62258355516189,6.493667300673677,3.185075615183776,96.97305412716094,15.666595728718946,0.0,35.99717114568601,66.0,100.0,57.8666322968304,31.521356493678105,1.0,High,1.0
421,1923,27.911218506241354,15,40.95295238095238,6.666666666666667,0.0,44.5632890537203,1.3699528609353944,30.748991575321085,18.31041148864195,2.875161634822526,40.264955160722685,11.838116512317299,0.0,16.963696369636963,55.0,100.0,51.22664860842483,25.798653787699518,1.0,Medium,2.0
424,1927,26.621461707949578,48,30.237648809523794,0.0,36.458333333333336,5.650082635059104,16.06384928167833,8.699519711081827,16.53835391505146,20.217963691712963,18.68834222111372,19.028731120289045,43.75,13.221947194719469,37.125,75.60416666666667,21.8860188120903,62.773429934873384,0.6666666666666666,Medium,2.0
426,1940,21.066014344525467,12,35.17878968253968,0.0,0.0,4.8658372762393105,22.733041373365527,7.723768884020658,6.040269923162661,6.867069224765906,8.809763635383938,12.74530894403559,16.666666666666668,18.564356435643568,38.5,91.66666666666667,31.073613549342543,35.62107725057466,1.0,Low,3.0
430,1970,15.176771672026804,12,44.27666666666665,0.0,66.66666666666667,2.973525214071602,1.2516567271652608,8.924351162605879,4.800279715623032,5.337239532562481,6.276365144594936,27.617314278967672,0.0,0.9900990099009904,11.0,33.0,14.21132188177551,15.502860751828209,1.0,Low,3.0
431,1971,15.253343981451353,11,44.27666666666665,0.0,45.45454545454545,3.073352937991085,1.235650991882095,8.948733606504303,4.975219128781686,5.760667580946419,6.585454761078487,32.78871674629279,0.0,0.9900990099009903,30.0,33.0,14.312513244847537,12.651883573784072,1.0,Low,3.0
434,1997,16.66063425295806,13,24.28556776556777,0.0,0.0,6.207747033162324,30.756023649521083,7.291075140948469,9.389503149372672,7.7505348180017,7.394009355923648,15.073349501404305,0.0,22.315308453922317,17.76923076923077,0.0,65.7391313003334,52.5986671099405,1.0,Low,3.0
436,2003,27.98921041219639,48,28.715773809523785,0.0,0.0,6.915036872646808,33.246197494057775,8.888233860965416,18.130772518857253,36.760798423917635,23.34354463370906,32.13468619250746,0.0,17.30610561056104,33.6875,93.75,33.4844580064662,81.46425917192967,1.0,Medium,2.0
444,2037,27.74371262827101,93,29.81190476190476,0.0,0.0,6.457386660859367,4.023179615766676,34.30256672234424,11.822131255530888,3.0673953034022268,6.247633053486302,75.56778785570037,0.0,28.212498669221787,33.0,66.0,47.24172187219938,98.14519628192022,0.8924731182795699,Medium,2.0
454,2076,22.772479474860692,27,28.618571428571414,0.0,0.0,5.33535217830909,5.551236342600292,7.844173562275302,7.208699518377237,7.4180086492441735,9.374144669628581,77.5459415937038,0.0,14.851485148514849,33.0,55.55555555555556,36.42910308732781,75.62739986366299,1.0,Low,3.0
