,Uid,In_WellCZ_C
801,-155.65534_20.02763,True
802,-155.65907_20.02624,True
803,-155.66088_20.02673,True
804,-155.65740_20.02677,True
805,-155.65727_20.02736,True
806,-155.66015_20.02598,True
807,-155.65619_20.02657,True
808,-155.65805_20.02768,True
809,-155.65769_20.02791,True
810,-155.65758_20.02693,True
811,-155.65768_20.02717,True
812,-155.65545_20.02779,True
813,-155.65555_20.02796,True
814,-155.65566_20.02812,True
815,-155.65491_20.02811,True
816,-155.65659_20.03017,True
817,-155.66147_20.02616,True
818,-155.82543_20.23218,True
819,-155.46627_20.08562,True
820,-155.46826_20.08051,True
821,-155.48121_20.06118,True
822,-155.47940_20.06057,True
823,-155.46640_20.07883,True
824,-155.47025_20.08027,True
825,-155.47151_20.07958,True
826,-155.47777_20.05524,True
827,-155.47476_20.04681,True
828,-155.47172_20.08042,True
829,-155.47967_20.06202,True
830,-155.91174_19.50617,True
831,-155.95431_19.69765,True
832,-155.95637_19.70235,True
833,-155.95333_19.70238,True
834,-155.95699_19.70284,True
835,-155.95796_19.70328,True
836,-155.95854_19.70423,True
837,-155.95812_19.70502,True
838,-155.95814_19.70618,True
839,-155.95730_19.70557,True
840,-155.95665_19.70622,True
841,-155.95218_19.70617,True
842,-155.95755_19.70715,True
843,-155.95641_19.70870,True
844,-155.47262_20.07218,True
845,-155.46640_20.07231,True
846,-155.96826_19.68105,True
847,-155.96929_19.68269,True
848,-155.96483_19.68378,True
849,-155.97721_19.70798,True
850,-155.97706_19.70712,True
851,-155.97799_19.70800,True
852,-155.11149_19.83373,True
853,-155.65726_20.02937,True
854,-155.96687_19.68488,True
855,-155.96765_19.67946,True
856,-155.96718_19.67963,True
857,-155.96906_19.68215,True
858,-155.96843_19.67918,True
859,-155.83326_19.81418,True
860,-155.83204_19.81605,True
861,-155.83289_19.81348,True
862,-155.83830_19.81364,True
863,-155.83637_19.81539,True
864,-155.83617_19.81577,True
865,-155.83595_19.81614,True
866,-155.83863_19.81324,True
867,-155.83205_19.82034,True
868,-155.83817_19.81433,True
869,-155.83776_19.81411,True
870,-155.83084_19.81951,True
871,-155.83725_19.81338,True
872,-155.83701_19.81377,True
873,-155.83589_19.81975,True
874,-155.84157_19.81591,True
875,-155.83351_19.82073,True
876,-155.83291_19.82062,True
877,-155.83205_19.82117,True
878,-155.83048_19.81911,True
879,-155.83034_19.81862,True
880,-155.82989_19.81963,True
881,-155.82949_19.81915,True
882,-155.82931_19.81862,True
883,-155.83000_19.81756,True
884,-155.83036_19.81705,True
885,-155.83072_19.81655,True
886,-155.83166_19.81648,True
887,-155.83201_19.81697,True
888,-155.83133_19.81807,True
