,Uid,dist2_Wetlands_m
275,-155.75421_19.11317,8103.865349417185
276,-155.74546_19.12172,6789.650454567953
277,-155.74485_19.09482,7574.261882727396
278,-155.86127_19.19667,3525.7290680886767
279,-155.74610_19.09318,7735.510809831302
280,-155.76994_19.10542,7760.890558128101
281,-155.76890_19.09458,8579.000451786587
282,-155.75639_19.08628,8956.011024637608
283,-155.903_19.20544,6968.70264619473
284,-155.90313_19.20533,6985.4060958677455
285,-155.90350_19.20498,7032.553098247611
286,-155.90363_19.20487,7048.074170649701
287,-155.90381_19.20457,7074.68760184981
288,-155.76226_19.08907,9491.306153277059
289,-155.79800_19.10028,6037.851127765594
290,-155.79954_19.09961,6009.0985500497545
291,-155.75819_19.11781,8113.322091319526
292,-155.89829_19.20432,6521.11243625052
293,-155.89783_19.20851,6364.629074550103
294,-155.89389_19.20453,6069.745158775658
295,-155.90310_19.20290,7049.9720866932885
296,-155.58881_19.06075,5053.335565351057
297,-155.78010_19.13318,5490.272714777293
298,-155.79775_19.10036,6046.219279110263
299,-155.79922_19.09875,6106.7170138973715
300,-155.76820_19.09604,8531.629707635446
301,-155.76814_19.09586,8549.662991737618
302,-155.75854_19.14704,6770.972895153667
303,-155.78719_19.11684,5548.604326097804
304,-155.78731_19.11717,5518.579781306909
305,-155.78134_19.10089,7138.793448554052
306,-155.88636_19.20217,5405.295148316312
307,-155.76778_19.08399,8783.382534741899
308,-155.78223_19.11743,5953.632306152674
309,-155.76343_19.10017,8654.388853692382
310,-155.74920_19.08827,8168.744422401853
311,-155.75471_19.11795,7810.150918694556
312,-155.90254_19.20601,6907.503545189044
313,-155.90225_19.20660,6863.430043927423
314,-155.76870_19.10107,8147.096939191487
315,-155.76661_19.11478,7537.198734538139
316,-155.74372_19.09773,7410.764240879483
317,-155.90204_19.20723,6826.4563519445865
318,-155.90167_19.20759,6780.375682950931
319,-155.90116_19.20804,6717.897006933823
320,-155.90064_19.20845,6655.278556636114
321,-155.90034_19.20862,6620.98899293961
322,-155.74852_19.09363,7977.7645031085185
323,-155.77078_19.11413,7181.881619972175
324,-155.78781_19.11852,5391.637136657074
325,-155.58466_19.06016,4740.373379383129
326,-155.63352_19.03164,7188.434330449503
327,-155.63436_19.03086,7157.041150016365
328,-155.76651_19.12318,7181.6922053673325
329,-155.73640_19.11284,6630.695733315098
330,-155.60722_19.06551,4868.651570005623
331,-155.76422_19.10046,8568.758558721458
332,-155.76353_19.10493,8354.309017380627
333,-155.79527_19.10630,5688.54731939424
334,-155.79295_19.11077,5499.290663555912
335,-155.79325_19.11039,5506.216238950609
336,-155.78379_19.10008,7016.435181418186
337,-155.77351_19.09689,8046.213637179578
338,-155.66096_19.01338,7617.92310297439
339,-155.78296_19.04337,4062.3640423792745
340,-155.78288_19.12760,5396.601366456177
341,-155.76958_19.10096,8080.32870866019
342,-155.75452_19.13926,6621.511762260632
343,-155.77759_19.09370,7977.238033337879
344,-155.77687_19.09434,7980.138296846662
345,-155.89984_19.20761,6591.523912902304
346,-155.90035_19.20697,6659.341834577289
347,-155.74769_19.11133,7740.385528839558
348,-155.89977_19.20575,6631.294111707475
349,-155.75648_19.09488,8783.630390460163
350,-155.77800_19.07773,7728.50628935825
351,-155.74700_19.09654,7769.900778418688
352,-155.75835_19.11712,8171.97722173781
353,-155.87326_19.21588,3679.1906910824164
354,-155.76568_19.13724,6901.887325519378
355,-155.74990_19.11560,7585.232919099793
356,-155.78516_19.11804,5655.077180557833
357,-155.75203_19.07733,8815.552058671745
358,-155.77346_19.09328,8320.282647451635
359,-155.78917_19.11124,5760.083311565359
360,-155.74652_19.10625,7650.725651555803
361,-155.76817_19.10035,8239.889303440543
362,-155.90089_19.20635,6730.403204367931
363,-155.78056_19.09109,7974.888869599519
364,-155.76444_19.09000,9266.759518832008
365,-155.76474_19.09071,9190.771656090175
366,-155.75352_19.08174,8802.148953118427
367,-155.75278_19.08203,8718.835134817082
368,-155.76655_19.09012,9091.271400424763
369,-155.76584_19.09076,9100.2973092574
370,-155.78454_19.09696,7212.409525053598
371,-155.88934_19.20804,5505.234364375821
372,-155.74253_19.11358,7184.039743145611
373,-155.73794_19.13113,5523.012812992673
374,-155.65942_19.04497,6856.268125475642
375,-155.78007_19.10819,6717.343228659636
376,-155.78043_19.10645,6806.434876367528
377,-155.77504_19.09453,8104.042509104954
378,-155.78843_19.10926,5962.9170036430405
379,-155.81266_19.05637,4987.792566305772
380,-155.74289_19.12050,6673.945298018679
381,-155.76773_19.10686,7867.2338142293565
382,-155.74154_19.10460,7127.835553332486
383,-155.74167_19.10496,7141.002447741404
384,-155.74169_19.10578,7142.950659518697
385,-155.78444_19.11603,5839.151092077918
386,-155.76064_19.10710,8491.955145453294
387,-155.75125_19.13011,6753.508194664617
388,-155.77648_19.11851,6424.6088766219955
389,-155.77346_19.09443,8233.086853875671
390,-155.77163_19.09576,8277.626716443283
391,-155.76301_19.12024,7640.93475669567
392,-155.76314_19.12060,7613.462209813696
393,-155.74524_19.10614,7516.331654190395
394,-155.74549_19.10605,7541.873549575552
395,-155.88455_19.21401,4883.571638060052
396,-155.89999_19.20315,6728.441149593948
397,-155.89990_19.20339,6711.97878621538
398,-155.76646_19.12035,7298.881175468409
399,-155.79059_19.11249,5556.69149791026
400,-155.73711_19.10725,6661.915662724977
401,-155.73689_19.10747,6640.05517208492
402,-155.75030_19.09477,8142.281686172776
403,-155.48982_19.23782,1562.9634485937293
404,-155.74418_19.09639,7478.40132446446
405,-155.7751_19.09247,8259.144234277404
406,-155.62941_19.05141,7305.081016524998
407,-155.63379_19.04707,7682.607528835432
408,-155.89569_19.20532,6227.686937744466
409,-155.77499_19.12691,6202.8725833315175
410,-155.77747_19.11778,6370.126807791821
411,-155.77722_19.12545,6038.056359859131
412,-155.77443_19.10360,7497.63211970247
413,-155.77393_19.10222,7633.175288212173
414,-155.86402_19.16675,4209.914558434048
415,-155.90101_19.20603,6750.404232130619
416,-155.78689_19.10001,6796.253927174191
417,-155.73681_19.12780,5660.2515756581615
418,-155.75618_19.09669,8726.451319975937
419,-155.77641_19.08730,8578.432342354545
420,-155.89787_19.20352,6502.441294076228
421,-155.58041_19.05895,4489.388150646942
422,-155.89524_19.20497,6192.7397697927645
423,-155.90316_19.20446,7012.007742638728
424,-155.89648_19.20371,6356.241850756991
425,-155.57969_19.06121,4265.1108462420825
426,-155.75196_19.13211,6710.228707285743
427,-155.75207_19.13242,6704.125925312674
428,-155.75218_19.13274,6697.870312499505
429,-155.76060_19.13422,7425.810781095089
430,-155.63455_19.03973,8032.114416090458
431,-155.77858_19.12395,5968.2935014751965
432,-155.77214_19.10057,7894.173383397655
433,-155.77820_19.11049,6727.159675455735
434,-155.78311_19.08994,7897.918608846975
435,-155.78596_19.10139,6753.021251698301
436,-155.75118_19.10813,8144.615909393221
437,-155.75147_19.10561,8172.059036064403
438,-155.63224_19.03268,7226.6498933832945
439,-155.74332_19.11901,6819.10780004548
440,-155.76704_19.08616,9034.723022151331
441,-155.79370_19.09450,6821.133241842893
442,-155.79433_19.09618,6631.3114632967445
443,-155.79445_19.09650,6594.904169485635
444,-155.77537_19.08512,8591.421485126953
445,-155.75123_19.11398,7809.391427683344
446,-155.77079_19.11532,7118.193893458601
447,-155.58585_19.06000,4850.427100212627
448,-155.77136_19.11272,7204.255904951425
449,-155.77447_19.11791,6643.396458186255
450,-155.73804_19.10547,6758.624628582179
451,-155.75512_19.08996,8735.334050137348
452,-155.78899_19.11537,5489.037326849676
