,Uid,nrcs_DtoBrock,nrcs_FloodFreq,nrcs_septic_dominant,nrcs_septic_least,nrcs_septic_most,nrcs_ksat_hi,nrcs_ksat_lo,nrcs_ksat_rep,nrcs_rockFrag3in
206,-155.76159_19.08324,,None,Very limited,Very limited,Very limited,324.812,67.27199999999999,195.99033333333333,48.05555555555554
207,-155.88155_19.21130,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23875,51.25
208,-155.89723_19.20359,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
209,-155.89760_19.20533,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
210,-155.90133_19.20382,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
211,-155.74495_19.11278,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
212,-155.75238_19.10809,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23875,51.25
213,-155.75737_19.08904,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23916666666668,35.833333333333336
214,-155.78672_19.11183,76.0,None,Very limited,Very limited,Very limited,205.9286,43.7266,124.7753,35.1875
215,-155.73533_19.12075,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
216,-155.53282_19.10450,0.0,None,Not rated,Not rated,Very limited,53.1375,15.7625,34.32375,83.33333333333333
217,-155.75170_19.11706,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23875,51.25
218,-155.75810_19.13075,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23875,51.25
219,-155.58672_19.06111,,None,Somewhat limited,Somewhat limited,Somewhat limited,14.0,4.0,10.0,100.0
220,-155.58690_19.06177,,None,Somewhat limited,Somewhat limited,Somewhat limited,14.0,4.0,10.0,100.0
221,-155.77278_19.09712,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23916666666668,35.833333333333336
222,-155.86711_19.29584,76.0,None,Very limited,Very limited,Very limited,342.6866,70.52459999999998,206.5543,36.48333333333333
223,-155.77237_19.10121,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23916666666668,35.833333333333336
224,-155.77618_19.10581,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
225,-155.76393_19.12652,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23875,51.25
226,-155.77254_19.09565,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23916666666668,35.833333333333336
227,-155.89696_19.20889,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
228,-155.77752_19.12814,76.0,None,Very limited,Very limited,Very limited,205.9286,43.7266,124.7753,35.1875
229,-155.56573_19.06895,0.0,None,Very limited,Not rated,Very limited,120.02500000000002,31.10833333333333,66.34083333333334,70.5
230,-155.47578_19.20339,76.0,None,Very limited,Somewhat limited,Very limited,130.4275,30.5025,80.90125,59.16666666666666
231,-155.47651_19.20358,76.0,None,Very limited,Somewhat limited,Very limited,130.4275,30.5025,80.90125,59.16666666666666
232,-155.90202_19.20329,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
233,-155.90290_19.20333,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
234,-155.90304_19.20353,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
235,-155.75724_19.11577,0.0,None,Not rated,Not rated,Very limited,36.555,11.288333333333332,23.919722222222227,76.25
236,-155.75330_19.13589,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23875,51.25
237,-155.75375_19.08469,,None,Very limited,Very limited,Very limited,324.812,67.27199999999999,195.99033333333333,48.05555555555554
238,-155.63056_19.04418,0.0,None,Not rated,Not rated,Very limited,36.555,11.288333333333332,23.919722222222227,76.25
239,-155.76806_19.08589,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23916666666668,35.833333333333336
240,-155.90750_19.18222,0.0,Occasional,Very limited,Not rated,Very limited,100.3635,23.32683333333333,61.84258333333333,62.5
241,-155.75575_19.10268,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23875,51.25
242,-155.77107_19.10850,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23916666666668,35.833333333333336
243,-155.77191_19.11083,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23916666666668,35.833333333333336
244,-155.74539_19.12482,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23875,51.25
245,-155.75949_19.14969,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
246,-155.74177_19.12988,0.0,None,Not rated,Not rated,Very limited,17.052,5.612,11.331,91.0
