,Uid,BlockBk_ID
828,-155.77165_19.09470,3304
829,-155.72263_19.14416,5766
830,-155.75524_19.11589,3416
831,-155.75338_19.09988,4766
832,-155.74199_19.12090,5598
833,-155.79290_19.10573,4572
834,-155.79393_19.10593,4572
835,-155.79455_19.10762,4572
836,-155.79467_19.10793,4572
837,-155.79387_19.10764,4572
838,-155.76466_19.12853,317
839,-155.76822_19.10823,3813
840,-155.78063_19.11869,4768
841,-155.75245_19.11357,4313
842,-155.79202_19.11149,3303
843,-155.77539_19.09870,1162
844,-155.76197_19.09687,3364
845,-155.76188_19.12356,3580
846,-155.78303_19.11630,2997
847,-155.74351_19.10139,4114
848,-155.61291_19.06676,4007
849,-155.63018_19.04769,5275
850,-155.63145_19.04797,5273
851,-155.80962_19.06237,6103
852,-155.63415_19.04750,5601
853,-155.78544_19.11652,2997
854,-155.63139_19.03580,4000
855,-155.75348_19.14393,6641
856,-155.75337_19.14248,6641
857,-155.74775_19.09862,1832
858,-155.74703_19.09891,1832
859,-155.75472_19.15085,1334
860,-155.88649_19.31318,6476
861,-155.88650_19.31302,6476
862,-155.87593_19.31646,6476
863,-155.88552_19.31425,6476
864,-155.88674_19.31422,6476
865,-155.88214_19.31548,6476
866,-155.86935_19.33245,1240
867,-155.88527_19.31352,6476
868,-155.88639_19.31423,6476
869,-155.88621_19.31423,6476
870,-155.87850_19.31517,6476
871,-155.88564_19.31352,6476
872,-155.88566_19.31283,6476
873,-155.87640_19.31592,6476
874,-155.87303_19.31284,8537
